vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@0%	F2@0%	F1@10%	F2@10%	F1@20%	F2@20%	F1@30%	F2@30%	F1@40%	F2@40%	F1@50%	F2@50%	F1@60%	F2@60%	F1@70%	F2@70%	F1@80%	F2@80%	F1@90%	F2@90%	F1@100%	F2@100%	nFormants
AH	0	IS	651	1491	0.343	0.323	0.382	0.059	*	3	4	2	0	0			723	1657	723	1657	723	1657	723	1657	662	1518	609	1318	643	1299	657	1280	657	1280	657	1280	657	1280	5
AY	1	RIGHT	857	1560	6.52	6.442	6.633	0.191	47	1	4	1	7	0		s	629	1313	629	1313	694	1230	785	1305	826	1418	855	1589	842	1718	841	1717	785	1659	752	1678	752	1678	6
IH	2	INITIALLY	649	1828	12.799	12.772	12.852	0.08	1	4	4	2	0	2			798	1847	798	1847	798	1847	757	1823	649	1828	617	1868	589	1895	536	1906	520	1905	520	1905	520	1905	6
IH	1	INITIALLY	564	1976	12.94	12.923	12.973	0.05	1	3	5	1	4	2			558	1963	558	1963	558	1963	558	1963	562	1969	561	2011	539	2083	533	2105	533	2105	533	2105	533	2105	5
IY	0	INITIALLY	502	2434	13.213	13.173	13.293	0.12	12	0	0	0	7	0			506	2312	506	2312	506	2312	505	2416	502	2426	579	2409	620	2461	488	2483	490	2549	490	2549	490	2549	5
AA	2	PONTELAND	721	1094	13.385	13.362	13.432	0.07	5	4	4	2	1	5			662	1035	662	1035	662	1035	662	1035	721	1094	728	1139	710	1179	698	1180	698	1180	698	1180	698	1180	5
IH	1	IT'S	427	1611	17.616	17.583	17.683	0.1	1	1	4	1	0	3			463	1609	463	1609	463	1609	420	1595	428	1605	437	1583	505	1657	609	1737	645	1762	645	1762	645	1762	6
EH	1	TEN	790	1753	18.706	18.683	18.753	0.07	2	4	4	2	3	0			760	1738	760	1738	760	1738	760	1738	790	1753	769	1756	723	1719	710	1711	710	1711	710	1711	710	1711	5
AY	1	MILES	711	1397	18.907	18.893	19.023	0.13	41	5	4	2	2	3		m	555	1348	555	1348	593	1348	708	1404	666	1357	608	1377	674	1385	734	1463	727	1382	724	1355	724	1355	5
EY	1	AWAY	752	1767	19.399	19.352	19.532	0.18	22	0	0	0	9	0			677	1570	677	1570	695	1614	750	1749	710	1852	664	2001	580	2157	473	2384	433	2383	450	2457	450	2457	4
AE	1	YEAH	704	2144	20.419	20.373	20.512	0.139	3	0	0	0	9	0			673	1530	673	1530	676	1522	694	1967	720	2114	748	2031	753	1927	869	1692	911	1794	907	1783	907	1783	6
UW	1	SCHOOL	516	2039	24.28	24.247	24.347	0.1	72	5	4	2	6	0			508	1965	508	1965	508	1965	521	2031	516	2058	512	2267	504	2197	491	1826	481	1771	481	1771	481	1771	4
IH	1	IN	530	1784	24.394	24.377	24.428	0.051	1	4	4	2	0	0			522	1744	522	1744	522	1744	522	1744	527	1769	540	1830	553	1870	554	1875	554	1875	554	1875	554	1875	5
AA	1	GOSFORTH	582	1179	25.42	25.383	25.493	0.11	5	3	4	1	6	4			524	1408	524	1408	524	1408	543	1270	587	1179	591	1180	577	1134	604	1186	601	1268	601	1268	601	1268	6
AY	1	I	661	1537	30.355	30.333	30.442	0.109	41	0	0	0	0	0		m	813	1696	813	1696	813	1696	801	1697	642	1516	615	1495	657	1513	805	1387	1056	1438	1056	1438	1056	1438	6
UW	1	TWO	461	2144	30.71	30.703	30.842	0.139	73	0	0	0	3	0			461	2144	461	2144	462	2145	479	2097	484	1830	457	2092	407	2321	421	2191	674	2028	712	2028	712	2028	5
AH	1	BROTHERS	644	1631	30.989	30.952	31.062	0.11	6	3	3	2	8	1			703	1654	703	1654	703	1654	694	1657	635	1624	580	1588	536	1564	504	1505	513	1516	513	1516	513	1516	5
ER	0	BROTHERS	579	1745	31.159	31.133	31.212	0.079	94	3	4	2	3	0			576	1722	576	1722	576	1722	577	1727	579	1746	581	1757	560	1760	496	1731	489	1726	489	1726	489	1726	4
UW	1	WHO	496	1387	31.482	31.462	31.522	0.06	72	0	0	0	0	0			505	1505	505	1505	505	1505	505	1505	498	1401	487	1252	479	1194	474	1282	474	1282	474	1282	474	1282	6
IY	1	WE	458	2182	31.609	31.582	31.663	0.081	12	0	0	0	9	0			477	1932	477	1932	477	1932	474	1984	458	2182	445	2226	432	2134	420	2079	417	2087	417	2087	417	2087	5
UW	1	MOVED	448	2015	31.802	31.772	31.862	0.09	72	3	2	2	2	3			454	1947	454	1947	454	1947	452	1965	448	2015	448	1994	444	1944	434	1899	431	1895	431	1895	431	1895	5
AW	1	TOWN	805	1669	32.475	32.438	32.707	0.269	42	4	4	2	3	0			572	1794	572	1794	817	1669	1002	1688	949	1682	822	1633	750	1593	705	1444	733	1316	680	1438	680	1438	5
AE	1	TRAVELLING	770	1249	33.843	33.813	33.903	0.09	3	3	2	2	8	2			736	1250	736	1250	736	1250	743	1249	773	1249	769	1245	728	1224	674	1220	654	1226	654	1226	654	1226	6
IH	0	TRAVELLING	600	1746	34.099	34.063	34.172	0.109	1	4	6	2	7	0			579	1582	579	1582	579	1582	597	1664	599	1766	584	1859	572	1962	547	2036	511	1969	511	1969	511	1969	5
EH	1	GETTING	673	1880	34.439	34.412	34.493	0.081	2	1	4	1	6	1			611	1959	611	1959	611	1959	621	1943	673	1880	676	1892	660	1878	670	1884	673	1899	673	1899	673	1899	5
