fileNameGoal,word,style,vowel,prec_seg,fol_seg,duration,F1@0%,F1@10%,F1@20%,F1@30%,F1@40%,F1@50%,F1@60%,F1@70%,F1@80%,F1@90%,F1@100%,F2@0%,F2@10%,F2@20%,F2@30%,F2@40%,F2@50%,F2@60%,F2@70%,F2@80%,F2@90%,F2@100%
011_MO_20190704-GOAL,whole,interview,OWL1,HH,S,0.14,578.6948023,560.3071366,524.9260349,512.9081454,498.1253382,464.8525841,500.8523755,502.8265937,495.1977008,506.5527854,528.2165297,853.8272388,825.2724541,782.4049926,789.8266189,748.8433677,772.0265066,683.7792165,696.2516974,756.4139753,964.5914461,1472.384404
011_MO_20190704-GOAL,old,interview,OWL1,R,D,0.16,538.6058872,580.848613,605.1423852,593.2983696,588.6027746,591.5181068,587.2761257,556.0100942,517.7132428,482.2841635,455.1623459,1218.29671,1217.52738,1196.147692,1159.272107,1126.253432,1060.76635,1035.690408,1020.855844,1032.318375,1063.541487,1137.187322
011_MO_20190704-GOAL,coldfield,interview,OWL1,K,D,0.14,511.0254704,511.7637673,501.2290472,495.7431207,478.3181611,464.840946,457.0593456,454.1500382,439.6890646,479.3958436,491.2465129,1077.882942,1007.871428,1006.314189,917.225346,850.9814419,839.5603246,810.8147375,805.5226796,869.7337959,834.3799658,882.6080278
011_MO_20190704-GOAL,whole,interview,OWL1,HH,L,0.18,583.0285852,546.3023056,529.1313836,482.2981513,475.8048806,445.9304327,402.5233209,384.9024346,373.6471034,370.4549386,371.3981748,1018.21468,928.4532787,893.0606496,850.3940295,814.8906086,841.008985,832.5076029,872.965758,877.9203876,904.7508577,872.2702249
011_MO_20190704-GOAL,told,interview,OWL1,T,D,0.15,561.3888344,581.7261729,525.3782485,512.1798921,512.595541,495.4089906,479.2304853,476.3923194,485.6320223,483.9725271,453.4519442,1151.507952,1120.829218,997.1184508,979.0780905,947.5823294,889.4871186,886.4554597,882.6479839,904.9639231,901.3374125,911.0482651
011_MO_20190704-GOAL,whole,interview,OWL1,HH,W,0.31,502.9042534,536.8568104,509.2305846,490.1510157,460.0304291,417.8779605,411.7885819,527.357277,453.1637114,466.9488375,478.6422722,795.4356247,835.8586721,797.0754529,784.7914698,762.5997317,754.2272616,1048.448501,1077.308808,998.7945716,1207.329572,1013.170449
011_MO_20190704-GOAL,sold,interview,OWL1,S,D,0.21,519.8959852,582.1046894,598.0387803,565.8789562,543.1040748,520.8904186,496.313717,458.0026587,444.2763293,415.1745045,426.6138727,1321.484916,1209.58153,1200.069887,1136.245086,1016.143745,913.233461,927.1817546,863.7618018,839.734301,846.7197586,881.9642441
011_MO_20190704-GOAL,told,interview,OWL1,T,D,0.18,572.3097673,526.4908648,524.5825173,518.3966449,488.5032904,489.2187191,477.257945,464.4011721,454.126838,454.4076622,415.0418058,1220.695305,1106.720846,1088.806889,996.286692,953.8542749,874.0256817,895.1649805,868.6947774,867.3037454,917.6415331,916.7781729
011_MO_20190704-GOAL,holding,interview,OWL1,HH,D,0.13,562.5086579,503.1645251,480.2782691,468.393828,455.538016,448.4284859,448.3356156,448.9867927,438.8908776,439.9757872,502.4406149,997.1099532,821.2747534,805.0167195,795.5896752,790.3819399,800.8255757,808.6622431,815.2650198,849.0409582,963.8740657,998.6926399
011_MO_20190704-GOAL,old,interview,OWL1,D,D,0.17,485.0473718,528.4375891,606.331427,642.0397753,680.2734186,618.3460253,580.0623395,532.5786994,491.5618338,458.7726456,588.0096012,1308.845637,1287.561679,1244.806486,1138.597214,1099.01963,980.0089196,907.509876,845.6610567,806.4674669,796.0842225,838.96045
