"position","fileNameGoal","vowel","F1.11.","F2.11.","F1.10.","F2.10.","F1.60.","F2.60.","F1.20.","F2.20.","F1.70.","F2.70.","F1.30.","F2.30.","F1.80.","F2.80.","F1.40.","F2.40.","F1.90.","F2.90.","F1.50.","F2.50.","F1.99.","F2.99.","traj","word","style","prec_seg","fol_seg","duration","rowid_fac"
1,"001_MO_20180709-GOAL","OWL1",425.721,1085.669,407.345,1234.916,331.942,1128.2,481.34,1256.407,378.955,1156.739,438.762,1173.878,359.406,1252.48,418.461,1255.594,401.731,1347.203,408.877,1054.123,370.1,1300.587,"1","MOULD","interview","M","D",0.369,"1"
2,"001_MO_20180709-GOAL","OWL1",363.093,1226.794,431.828,1307.559,333.718,1168.379,542.742,1343.188,417.027,1207.432,465.446,1298.095,391.089,1848.625,473.538,1280.528,474.928,1752.243,419.842,1133.539,405.533,1398.54,"2","ROLLS","interview","R","Z",0.279,"2"
3,"001_MO_20180709-GOAL","OWL1",339.575,1347.392,336.277,1408.007,310.834,1386.31,395.996,1489.597,372.148,1443.715,357.673,1482.604,361.535,1421.838,383.97,1518.971,435.908,1476.306,392.833,1410.758,451.422,1411.18,"3","O","interview","AH0","EH1",0.13,"3"
4,"001_MO_20180709-GOAL","OWL1",349.754,1463.055,367.12,1440.472,345.196,1300.809,456.084,1463.821,411.722,1332.705,389.059,1395.479,355.891,1346.392,421.735,1415.172,410.701,1442.876,408.75,1263.933,407.48,1423.819,"4","O","interview","UW1","EH1",0.22,"4"
5,"001_MO_20180709-GOAL","OWL1",369.308,1704.053,403.507,1528.062,330.271,1340.506,529.551,1548.711,382.664,1533.933,467.574,1520.8,349.455,1504.543,457.616,1499.208,404.647,1532.269,409.809,1378.739,412.603,1533.148,"5","O","interview","D","EH1",0.23,"5"
6,"001_MO_20180709-GOAL","OWL1",355.325,1578.521,373.445,1492.222,355.714,1427.936,468.195,1534.62,414.351,1492.862,449.307,1484.972,375.099,1508.016,479.144,1521.557,412.989,1534.67,432.245,1431.824,409.766,1487.857,"6","O","interview","D","EH1",0.18,"6"
7,"001_MO_20180709-GOAL","OWL1",475.437,1566.678,436.056,1482.097,363.354,1485.955,501.479,1544.415,409.187,1510.39,464.109,1517.17,369.059,1536.11,480.893,1534.855,422.991,1529.499,426.192,1449.308,463.911,1444.673,"7","O","interview","N","EH1",0.18,"7"
8,"001_MO_20180709-GOAL","OWL1",467.829,1533.519,434.457,1494.473,342.744,1464.579,508.943,1528.606,402.192,1585.142,480.198,1478.501,386.782,1521.747,477.844,1494.406,413.123,1565.33,427.758,1418.553,467.551,1555.056,"8","O","interview","T","EH1",0.231,"8"
9,"001_MO_20180709-GOAL","OWL1",590.351,1501.741,403.294,1346.774,323.094,1251.469,529.504,1375.494,379.378,1321.707,461.089,1299.2,351.089,1283.732,442.052,1337.968,440.752,1665.805,391.605,1273.202,510.478,1588.339,"9","TOLD","interview","T","D",0.201,"9"
10,"001_MO_20180709-GOAL","OWL1",512.617,1112.512,408.979,1318.327,360.902,1535.294,472.796,1332.018,419.702,1455.401,453.96,1425.152,384.752,1419.786,489.595,1563.298,445.775,1530.053,439.696,1450.782,390.716,1489.121,"10","TOLD","interview","T","D",0.12,"10"
11,"001_MO_20180709-GOAL","OWL1",632.782,1461.871,432.041,1419.097,374.867,1485.472,493.076,1366.73,470.824,1716.258,465.297,1376.065,495.396,1685.896,503.319,1650.106,516.416,1730.079,453.454,1624.15,574.613,1639.528,"11","TOLD","interview","T","D",0.129,"11"
12,"001_MO_20180709-GOAL","OWL1",409.006,1673.065,413.421,1453.972,365.521,1210.647,524.528,1440.279,428.434,1320.161,557.178,1336.291,391.436,1335.344,547.049,1273.325,628.947,1692.955,436.182,1162.398,554.293,1811.631,"12","OLD","interview","IY0","D",0.15,"12"
13,"001_MO_20180709-GOAL","OWL1",398.559,1644.248,399.421,1432.918,339.262,1291.97,477.631,1406.254,398.39,1391.647,450.99,1354.915,381.287,1402.74,477.619,1348.496,449.587,1730.264,426.615,1281.839,424.795,1583.704,"13","OLD","interview","IY0","D",0.15,"13"
