"lexSet_ord","ageGroup","sex","measurement.no","preSeg","dur","id","word","fit","se.fit"
"hole","Old","Female",0,"none",0.100166666666667,"D58A_FO","OLD",567.379172057305,31.2779738457729
"holy","Old","Female",0,"none",0.100166666666667,"D58A_FO","OLD",582.942433811946,76.1800072026689
"hole","Old","Female",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",567.302619692755,30.248090562687
"holy","Old","Female",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",584.594822429267,73.6970228518895
"hole","Old","Female",4.08163265306122,"none",0.100166666666667,"D58A_FO","OLD",567.226067263244,29.2216062888397
"holy","Old","Female",4.08163265306122,"none",0.100166666666667,"D58A_FO","OLD",586.247210995493,71.2234529021002
"hole","Old","Female",6.12244897959184,"none",0.100166666666667,"D58A_FO","OLD",567.149514703808,28.1988921887588
"holy","Old","Female",6.12244897959184,"none",0.100166666666667,"D58A_FO","OLD",587.89959945953,68.7603133177719
"hole","Old","Female",8.16326530612245,"none",0.100166666666667,"D58A_FO","OLD",567.072961949488,27.1803737788247
"holy","Old","Female",8.16326530612245,"none",0.100166666666667,"D58A_FO","OLD",589.551987770284,66.3087663374865
"hole","Old","Female",10.2040816326531,"none",0.100166666666667,"D58A_FO","OLD",566.996408935318,26.1665409097784
"holy","Old","Female",10.2040816326531,"none",0.100166666666667,"D58A_FO","OLD",591.204375876659,63.8701466916707
"hole","Old","Female",12.2448979591837,"none",0.100166666666667,"D58A_FO","OLD",566.919855594211,25.1579599423979
"holy","Old","Female",12.2448979591837,"none",0.100166666666667,"D58A_FO","OLD",592.85676372752,61.4459933865635
"hole","Old","Female",14.2857142857143,"none",0.100166666666667,"D58A_FO","OLD",566.843301852761,24.1552886514229
"holy","Old","Female",14.2857142857143,"none",0.100166666666667,"D58A_FO","OLD",594.509151271604,59.0380883443468
"hole","Old","Female",16.3265306122449,"none",0.100166666666667,"D58A_FO","OLD",566.766747636402,23.1592945090117
"holy","Old","Female",16.3265306122449,"none",0.100166666666667,"D58A_FO","OLD",596.161538457629,56.6485034364135
"hole","Old","Female",18.3673469387755,"none",0.100166666666667,"D58A_FO","OLD",566.690192868973,22.1708772856621
"holy","Old","Female",18.3673469387755,"none",0.100166666666667,"D58A_FO","OLD",597.813925232723,54.2796581088827
"hole","Old","Female",20.4081632653061,"none",0.100166666666667,"D58A_FO","OLD",566.613637463821,21.1910971015831
"holy","Old","Female",20.4081632653061,"none",0.100166666666667,"D58A_FO","OLD",599.466311533554,51.9343901758671
"hole","Old","Female",22.4489795918367,"none",0.100166666666667,"D58A_FO","OLD",566.537081339161,20.2212093407378
"holy","Old","Female",22.4489795918367,"none",0.100166666666667,"D58A_FO","OLD",601.118697309135,49.6160429569767
"hole","Old","Female",24.4897959183673,"none",0.100166666666667,"D58A_FO","OLD",566.460524433642,19.2627082244697
"holy","Old","Female",24.4897959183673,"none",0.100166666666667,"D58A_FO","OLD",602.771082545599,47.3285725646131
"hole","Old","Female",26.530612244898,"none",0.100166666666667,"D58A_FO","OLD",566.383966690635,18.317381234417
"holy","Old","Female",26.530612244898,"none",0.100166666666667,"D58A_FO","OLD",604.423467236055,45.0766797702806
"hole","Old","Female",28.5714285714286,"none",0.100166666666667,"D58A_FO","OLD",566.307408070489,17.3873771671249
"holy","Old","Female",28.5714285714286,"none",0.100166666666667,"D58A_FO","OLD",606.075851390591,42.8659718122684
"hole","Old","Female",30.6122448979592,"none",0.100166666666667,"D58A_FO","OLD",566.230848542435,16.4752909670157
"holy","Old","Female",30.6122448979592,"none",0.100166666666667,"D58A_FO","OLD",607.728235028087,40.7031596500592
"hole","Old","Female",32.6530612244898,"none",0.100166666666667,"D58A_FO","OLD",566.154288086563,15.584268822953
"holy","Old","Female",32.6530612244898,"none",0.100166666666667,"D58A_FO","OLD",609.380618171113,38.5962957280938
"hole","Old","Female",34.6938775510204,"none",0.100166666666667,"D58A_FO","OLD",566.077726703793,14.7181367428388
"holy","Old","Female",34.6938775510204,"none",0.100166666666667,"D58A_FO","OLD",611.033000850924,36.5550550285393
"hole","Old","Female",36.734693877551,"none",0.100166666666667,"D58A_FO","OLD",566.001164426411,13.881554448051
"holy","Old","Female",36.734693877551,"none",0.100166666666667,"D58A_FO","OLD",612.685383128967,34.5910568199487
"hole","Old","Female",38.7755102040816,"none",0.100166666666667,"D58A_FO","OLD",565.924601305803,13.0801929265114
"holy","Old","Female",38.7755102040816,"none",0.100166666666667,"D58A_FO","OLD",614.337765085786,32.7182139911401
"hole","Old","Female",40.8163265306122,"none",0.100166666666667,"D58A_FO","OLD",565.848037394118,12.3209263499147
"holy","Old","Female",40.8163265306122,"none",0.100166666666667,"D58A_FO","OLD",615.990146802395,30.9530771000115
"hole","Old","Female",42.8571428571429,"none",0.100166666666667,"D58A_FO","OLD",565.771472760936,11.612014863711
"holy","Old","Female",42.8571428571429,"none",0.100166666666667,"D58A_FO","OLD",617.642528365868,29.3151082245892
"hole","Old","Female",44.8979591836735,"none",0.100166666666667,"D58A_FO","OLD",565.69490749848,10.9632310335409
"holy","Old","Female",44.8979591836735,"none",0.100166666666667,"D58A_FO","OLD",619.294909871141,27.8267728924442
"hole","Old","Female",46.9387755102041,"none",0.100166666666667,"D58A_FO","OLD",565.618341700482,10.3858490617818
"holy","Old","Female",46.9387755102041,"none",0.100166666666667,"D58A_FO","OLD",620.947291413676,26.5132822800403
"hole","Old","Female",48.9795918367347,"none",0.100166666666667,"D58A_FO","OLD",565.541775460678,9.89237913821554
"holy","Old","Female",48.9795918367347,"none",0.100166666666667,"D58A_FO","OLD",622.599673088934,25.4017737182144
"hole","Old","Female",51.0204081632653,"none",0.100166666666667,"D58A_FO","OLD",565.465208871987,9.49591203171606
"holy","Old","Female",51.0204081632653,"none",0.100166666666667,"D58A_FO","OLD",624.252054991454,24.5197307446813
"hole","Old","Female",53.0612244897959,"none",0.100166666666667,"D58A_FO","OLD",565.388642008588,9.20898483188308
"holy","Old","Female",53.0612244897959,"none",0.100166666666667,"D58A_FO","OLD",625.904437194525,23.8925804496211
"hole","Old","Female",55.1020408163265,"none",0.100166666666667,"D58A_FO","OLD",565.312074925919,9.04203164087645
"holy","Old","Female",55.1020408163265,"none",0.100166666666667,"D58A_FO","OLD",627.556819750185,23.5407036514898
"hole","Old","Female",57.1428571428571,"none",0.100166666666667,"D58A_FO","OLD",565.235507678606,9.00173046115653
"holy","Old","Female",57.1428571428571,"none",0.100166666666667,"D58A_FO","OLD",629.209202709552,23.4764815195157
"hole","Old","Female",59.1836734693878,"none",0.100166666666667,"D58A_FO","OLD",565.158940321273,9.08976615877837
"holy","Old","Female",59.1836734693878,"none",0.100166666666667,"D58A_FO","OLD",630.86158612374,23.7022524623833
"hole","Old","Female",61.2244897959184,"none",0.100166666666667,"D58A_FO","OLD",565.082372907992,9.30249591763774
"holy","Old","Female",61.2244897959184,"none",0.100166666666667,"D58A_FO","OLD",632.51397004182,24.2099048348486
"hole","Old","Female",63.265306122449,"none",0.100166666666667,"D58A_FO","OLD",565.005805484571,9.63166121702784
"holy","Old","Female",63.265306122449,"none",0.100166666666667,"D58A_FO","OLD",634.166354482196,24.9822607617931
"hole","Old","Female",65.3061224489796,"none",0.100166666666667,"D58A_FO","OLD",564.929238090455,10.0658459003584
"holy","Old","Female",65.3061224489796,"none",0.100166666666667,"D58A_FO","OLD",635.818739439679,25.9957374292559
"hole","Old","Female",67.3469387755102,"none",0.100166666666667,"D58A_FO","OLD",564.852670764819,10.5921433081089
"holy","Old","Female",67.3469387755102,"none",0.100166666666667,"D58A_FO","OLD",637.471124908358,27.2234188848135
"hole","Old","Female",69.3877551020408,"none",0.100166666666667,"D58A_FO","OLD",564.776103540233,11.1975728694729
"holy","Old","Female",69.3877551020408,"none",0.100166666666667,"D58A_FO","OLD",639.123510875726,28.6377700395048
"hole","Old","Female",71.4285714285714,"none",0.100166666666667,"D58A_FO","OLD",564.699536438612,11.8700324800942
"holy","Old","Female",71.4285714285714,"none",0.100166666666667,"D58A_FO","OLD",640.775897317994,30.2125864869284
"hole","Old","Female",73.469387755102,"none",0.100166666666667,"D58A_FO","OLD",564.62296947659,12.5987936812416
"holy","Old","Female",73.469387755102,"none",0.100166666666667,"D58A_FO","OLD",642.428284199709,31.9241300180124
"hole","Old","Female",75.5102040816327,"none",0.100166666666667,"D58A_FO","OLD",564.546402668244,13.3746564698758
"holy","Old","Female",75.5102040816327,"none",0.100166666666667,"D58A_FO","OLD",644.08067147909,33.7516069952859
"hole","Old","Female",77.5510204081633,"none",0.100166666666667,"D58A_FO","OLD",564.469836032247,14.1898969467885
"holy","Old","Female",77.5510204081633,"none",0.100166666666667,"D58A_FO","OLD",645.733059118903,35.6772068403033
"hole","Old","Female",79.5918367346939,"none",0.100166666666667,"D58A_FO","OLD",564.393269596267,15.0381124194935
"holy","Old","Female",79.5918367346939,"none",0.100166666666667,"D58A_FO","OLD",647.385447090911,37.6858916254466
"hole","Old","Female",81.6326530612245,"none",0.100166666666667,"D58A_FO","OLD",564.316703386993,15.9140311990409
"holy","Old","Female",81.6326530612245,"none",0.100166666666667,"D58A_FO","OLD",649.037835369597,39.7650726709228
"hole","Old","Female",83.6734693877551,"none",0.100166666666667,"D58A_FO","OLD",564.240137416272,16.8133242447837
"holy","Old","Female",83.6734693877551,"none",0.100166666666667,"D58A_FO","OLD",650.690223941938,41.9042579832403
"hole","Old","Female",85.7142857142857,"none",0.100166666666667,"D58A_FO","OLD",564.163571682297,17.7324358297661
"holy","Old","Female",85.7142857142857,"none",0.100166666666667,"D58A_FO","OLD",652.342612793515,44.094715628105
"hole","Old","Female",87.7551020408163,"none",0.100166666666667,"D58A_FO","OLD",564.08700616606,18.668439134156
"holy","Old","Female",87.7551020408163,"none",0.100166666666667,"D58A_FO","OLD",653.995001892761,46.3291738503157
"hole","Old","Female",89.7959183673469,"none",0.100166666666667,"D58A_FO","OLD",564.010440845972,19.6189167653462
"holy","Old","Female",89.7959183673469,"none",0.100166666666667,"D58A_FO","OLD",655.64739120553,48.6015643804268
"hole","Old","Female",91.8367346938776,"none",0.100166666666667,"D58A_FO","OLD",563.93387569879,20.5818636483661
"holy","Old","Female",91.8367346938776,"none",0.100166666666667,"D58A_FO","OLD",657.299780697461,50.9068078985795
"hole","Old","Female",93.8775510204082,"none",0.100166666666667,"D58A_FO","OLD",563.857310692338,21.5556088705004
"holy","Old","Female",93.8775510204082,"none",0.100166666666667,"D58A_FO","OLD",658.952170333033,53.2406373007767
"hole","Old","Female",95.9183673469388,"none",0.100166666666667,"D58A_FO","OLD",563.780745791437,22.5387530228847
"holy","Old","Female",95.9183673469388,"none",0.100166666666667,"D58A_FO","OLD",660.604560076336,55.5994531568551
"hole","Old","Female",97.9591836734694,"none",0.100166666666667,"D58A_FO","OLD",563.704180960903,23.5301180837951
