"lexSet_ord","ageGroup","sex","measurement.no","preSeg","dur","id","word","fit","se.fit"
"hole","Old","Female",0,"none",0.100166666666667,"D58A_FO","OLD",1050.13950245882,69.4825453444137
"holy","Old","Female",0,"none",0.100166666666667,"D58A_FO","OLD",888.95748584367,163.37763202638
"hole","Young","Female",0,"none",0.100166666666667,"D58A_FO","OLD",1201.27438270061,96.8565775432965
"holy","Young","Female",0,"none",0.100166666666667,"D58A_FO","OLD",1040.09236608546,179.168216980188
"hole","Old","Male",0,"none",0.100166666666667,"D58A_FO","OLD",1445.42157304796,99.2734852423166
"holy","Old","Male",0,"none",0.100166666666667,"D58A_FO","OLD",1284.23955643281,177.540768074645
"hole","Young","Male",0,"none",0.100166666666667,"D58A_FO","OLD",1596.55645328974,118.449057639397
"holy","Young","Male",0,"none",0.100166666666667,"D58A_FO","OLD",1435.37443667459,191.183957317266
"hole","Old","Female",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",1048.5001590693,66.7130455233341
"holy","Old","Female",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",893.249936677545,157.69144503908
"hole","Young","Female",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",1200.6217399972,93.465300842621
"holy","Young","Female",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",1045.37151760544,173.132706502158
"hole","Old","Male",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",1434.42724027844,95.7838725097841
"holy","Old","Male",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",1279.17701788668,171.41888380191
"hole","Young","Male",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",1586.54882120634,114.439932827965
"holy","Young","Male",2.04081632653061,"none",0.100166666666667,"D58A_FO","OLD",1431.29859881458,184.741960366987
"hole","Old","Female",4.08163265306122,"none",0.100166666666667,"D58A_FO","OLD",1046.77596080627,64.1181274659826
"holy","Old","Female",4.08163265306122,"none",0.100166666666667,"D58A_FO","OLD",897.457532663073,152.121234297154
"hole","Young","Female",4.08163265306122,"none",0.100166666666667,"D58A_FO","OLD",1199.88424276802,90.2179581757101
"holy","Young","Female",4.08163265306122,"none",0.100166666666667,"D58A_FO","OLD",1050.56581462482,167.216143436829
"hole","Old","Male",4.08163265306122,"none",0.100166666666667,"D58A_FO","OLD",1423.34805245223,92.4347784116557
"holy","Old","Male",4.08163265306122,"none",0.100166666666667,"D58A_FO","OLD",1274.02962430903,165.411407800055
"hole","Young","Male",4.08163265306122,"none",0.100166666666667,"D58A_FO","OLD",1576.45633441398,110.561061688251
