"lexSet_ord","ageGroup","sex","measurement.no","preSeg","dur","id","word","fit","se.fit"
"hole","Old","Female",0,"none",0.138951289398281,"019_FO","OLDER",1178.54120146195,53.0654373709916
"holey","Old","Female",0,"none",0.138951289398281,"019_FO","OLDER",1344.30930221474,69.613696167553
"holy","Old","Female",0,"none",0.138951289398281,"019_FO","OLDER",1548.19777663828,78.5218837364399
"hole","Old","Female",2.04081632653061,"none",0.138951289398281,"019_FO","OLDER",1177.16269609775,50.7346589707877
"holey","Old","Female",2.04081632653061,"none",0.138951289398281,"019_FO","OLDER",1345.73620571428,66.8311421401704
"holy","Old","Female",2.04081632653061,"none",0.138951289398281,"019_FO","OLDER",1551.87048731209,75.4303687101833
"hole","Old","Female",4.08163265306122,"none",0.138951289398281,"019_FO","OLDER",1175.64754500844,48.5727952569508
"holey","Old","Female",4.08163265306122,"none",0.138951289398281,"019_FO","OLDER",1347.0264640087,64.1886155830822
"holy","Old","Female",4.08163265306122,"none",0.138951289398281,"019_FO","OLDER",1555.40968779049,72.5088673263083
"hole","Old","Female",6.12244897959184,"none",0.138951289398281,"019_FO","OLDER",1173.85910246889,46.5690331383471
"holey","Old","Female",6.12244897959184,"none",0.138951289398281,"019_FO","OLDER",1348.04343189287,61.6781958266642
"holy","Old","Female",6.12244897959184,"none",0.138951289398281,"019_FO","OLDER",1558.68186787804,69.751485091465
"hole","Old","Female",8.16326530612245,"none",0.138951289398281,"019_FO","OLDER",1171.66072275401,44.6872240782202
"holey","Old","Female",8.16326530612245,"none",0.138951289398281,"019_FO","OLDER",1348.65046416167,59.2733822236799
"holy","Old","Female",8.16326530612245,"none",0.138951289398281,"019_FO","OLDER",1561.55351737933,67.1322413358651
"hole","Old","Female",10.2040816326531,"none",0.138951289398281,"019_FO","OLDER",1168.91577292941,42.8789924477938
"holey","Old","Female",10.2040816326531,"none",0.138951289398281,"019_FO","OLDER",1348.71092840073,56.9390285780922
"holy","Old","Female",10.2040816326531,"none",0.138951289398281,"019_FO","OLDER",1563.8911377119,64.6153954744779
"hole","Old","Female",12.2448979591837,"none",0.138951289398281,"019_FO","OLDER",1165.50459336862,41.115144791613
