"lexSet_ord","ageGroup","sex","measurement.no","preSeg","dur","id","word","fit","se.fit"
"hole","Old","Female",0,"none",0.138951289398281,"019_FO","OLDER",1178.54120146195,53.0654373709916
"holey","Old","Female",0,"none",0.138951289398281,"019_FO","OLDER",1344.30930221474,69.613696167553
"holy","Old","Female",0,"none",0.138951289398281,"019_FO","OLDER",1548.19777663828,78.5218837364399
"hole","Young","Female",0,"none",0.138951289398281,"019_FO","OLDER",1152.22658781399,68.7149993741529
"holey","Young","Female",0,"none",0.138951289398281,"019_FO","OLDER",1317.99468856678,82.158105953568
"holy","Young","Female",0,"none",0.138951289398281,"019_FO","OLDER",1521.88316299031,90.0220989207678
"hole","Old","Male",0,"none",0.138951289398281,"019_FO","OLDER",1213.75456946954,68.4591824307221
"holey","Old","Male",0,"none",0.138951289398281,"019_FO","OLDER",1379.52267022233,81.9860985397035
"holy","Old","Male",0,"none",0.138951289398281,"019_FO","OLDER",1583.41114464586,89.8220703533877
"hole","Young","Male",0,"none",0.138951289398281,"019_FO","OLDER",1187.43995582158,84.9768939275196
"holey","Young","Male",0,"none",0.138951289398281,"019_FO","OLDER",1353.20805657437,96.1988065435436
"holy","Young","Male",0,"none",0.138951289398281,"019_FO","OLDER",1557.0965309979,103.125645394447
"hole","Old","Female",2.04081632653061,"none",0.138951289398281,"019_FO","OLDER",1177.16269609775,50.7346589707877
"holey","Old","Female",2.04081632653061,"none",0.138951289398281,"019_FO","OLDER",1345.73620571428,66.8311421401704
"holy","Old","Female",2.04081632653061,"none",0.138951289398281,"019_FO","OLDER",1551.87048731209,75.4303687101833
"hole","Young","Female",2.04081632653061,"none",0.138951289398281,"019_FO","OLDER",1150.13188721839,66.0071129190125
"holey","Young","Female",2.04081632653061,"none",0.138951289398281,"019_FO","OLDER",1318.70539683492,79.0417834796497
"holy","Young","Female",2.04081632653061,"none",0.138951289398281,"019_FO","OLDER",1524.83967843273,86.6087848434968
"hole","Old","Male",2.04081632653061,"none",0.138951289398281,"019_FO","OLDER",1212.04044431642,65.8002994030614
"holey","Old","Male",2.04081632653061,"none",0.138951289398281,"019_FO","OLDER",1380.61395393295,78.9081479233789
