"age_sex_corp","measurement.no","preSeg","folMan","folPlace","dur","id","word","fit","se.fit"
"Old.Female.CoRP-NE",0,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1646.37331880298,76.622311156965
"Young.Female.CoRP-NE",0,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1687.3985916475,32.5192408243689
"Old.Male.CoRP-NE",0,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1625.18907214011,96.331057980434
"Young.Male.CoRP-NE",0,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1693.69158487581,64.5889435605722
"Old.Female.CoRP-SE",0,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1697.69301161671,76.6050204294537
"Young.Female.CoRP-SE",0,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1692.46833672591,76.6175902008851
"Old.Male.CoRP-SE",0,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1738.13505132185,77.0173721180923
"Young.Male.CoRP-SE",0,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1711.53914543525,97.4961949567849
"Old.Female.DECTE-NE",0,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1222.19255301375,69.7308825626484
"Old.Male.DECTE-NE",0,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1251.86805083771,99.5297720658835
"Young.Male.DECTE-NE",0,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1483.76212492105,103.623278956987
"Old.Female.CoRP-NE",2.04081632653061,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1640.80990378091,74.035894770878
"Young.Female.CoRP-NE",2.04081632653061,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1683.03231518892,30.8098731489984
"Old.Male.CoRP-NE",2.04081632653061,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1623.23053895571,93.2560454924809
"Young.Male.CoRP-NE",2.04081632653061,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1689.39838429813,62.2758638244468
"Old.Female.CoRP-SE",2.04081632653061,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1692.18942130333,74.0187161761982
"Young.Female.CoRP-SE",2.04081632653061,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1689.44362741385,74.0308464391784
"Old.Male.CoRP-SE",2.04081632653061,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1735.79512959674,74.4202805214442
"Young.Male.CoRP-SE",2.04081632653061,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1710.16824540414,94.3908749867948
"Old.Female.DECTE-NE",2.04081632653061,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1216.8101235505,67.1098800717434
"Old.Male.DECTE-NE",2.04081632653061,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1249.31635654791,96.2162514454344
"Young.Male.DECTE-NE",2.04081632653061,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1485.43956408889,99.5124759375861
"Old.Female.CoRP-NE",4.08163265306122,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1635.0845272243,71.6374599785618
"Young.Female.CoRP-NE",4.08163265306122,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1678.48742946987,29.296808507613
"Old.Male.CoRP-NE",4.08163265306122,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1621.1100517362,90.3868739487083
"Young.Male.CoRP-NE",4.08163265306122,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1684.94322271153,60.1434313427674
"Old.Female.CoRP-SE",4.08163265306122,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1686.52385846926,71.62045881862
"Young.Female.CoRP-SE",4.08163265306122,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1686.2569583607,71.6320859590583
"Old.Male.CoRP-SE",4.08163265306122,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1733.29324961366,72.0104697646502
"Young.Male.CoRP-SE",4.08163265306122,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1708.63540681804,91.4899740844171
"Old.Female.DECTE-NE",4.08163265306122,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1211.23180476707,64.7174645985121
"Old.Male.DECTE-NE",4.08163265306122,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1246.60497315479,93.1289581894791
"Young.Male.DECTE-NE",4.08163265306122,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1486.98240761285,95.7883457008594
"Old.Female.CoRP-NE",6.12244897959184,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1629.03522759862,69.4288508457826
"Young.Female.CoRP-NE",6.12244897959184,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1673.58532522988,27.9633746415918
"Old.Male.CoRP-NE",6.12244897959184,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1618.6656564465,87.729780185502
"Young.Male.CoRP-NE",6.12244897959184,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1680.16413910709,58.1904627331354
"Old.Female.CoRP-SE",6.12244897959184,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1680.53435059379,69.412094572816
"Young.Female.CoRP-SE",6.12244897959184,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1682.74636982538,69.4231557923543
"Old.Male.CoRP-SE",6.12244897959184,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1730.46745311464,69.7897918920973
"Young.Male.CoRP-SE",6.12244897959184,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1706.77869112193,88.7997234009426
"Old.Female.DECTE-NE",6.12244897959184,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1205.26170734326,62.5521584250372
"Old.Male.DECTE-NE",6.12244897959184,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1243.57421155502,90.2755949520218
"Young.Male.DECTE-NE",6.12244897959184,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1488.25605984909,92.4593701966066
"Old.Female.CoRP-NE",8.16326530612245,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1622.50004336933,67.3994242968891
"Young.Female.CoRP-NE",8.16326530612245,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1668.1473932085,26.7557924520191
"Old.Male.CoRP-NE",8.16326530612245,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1615.73539905149,85.281423037175
"Young.Male.CoRP-NE",8.16326530612245,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1674.89917247589,56.4005829333412
"Old.Female.CoRP-SE",8.16326530612245,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1674.05892515622,67.3829755522548
"Young.Female.CoRP-SE",8.16326530612245,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1678.74990206679,67.3934140664969
"Old.Male.CoRP-SE",8.16326530612245,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1727.15578184172,67.747689054106
"Young.Male.CoRP-SE",8.16326530612245,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1704.43615976082,86.3169142297219
"Old.Female.DECTE-NE",8.16326530612245,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1198.70394195888,60.5917355973135
"Old.Male.DECTE-NE",8.16326530612245,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1240.06438264529,87.6525992150525
"Young.Male.DECTE-NE",8.16326530612245,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1489.12592515374,89.5019847917376
"Old.Female.CoRP-NE",10.2040816326531,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1615.31701650283,65.5331294153781
"Young.Female.CoRP-NE",10.2040816326531,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1661.99502768312,25.6016466723274
"Old.Male.CoRP-NE",10.2040816326531,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1612.1573290163,83.0344541334651
"Young.Male.CoRP-NE",10.2040816326531,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1668.98636530994,54.7506513974498
"Old.Female.CoRP-SE",10.2040816326531,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1666.93561313619,65.5170416766789
"Young.Female.CoRP-SE",10.2040816326531,"nasal_apical","none","none",0.129267647058824,"017_FY","KNOW",1674.1055988444,65.526809771476
