"age_lexSet","measurement.no","preSeg","id","word","fit","se.fit"
"Old.hope",0,"velar","D58A_FO","KNOW",539.138513900986,15.8261285871271
"Young.hope",0,"velar","D58A_FO","KNOW",517.451173068939,21.336296112964
"Old.hole",0,"velar","D58A_FO","KNOW",536.760152287962,21.7598729824918
"Young.hole",0,"velar","D58A_FO","KNOW",429.012793307399,57.3482394576191
"Old.hope",2.04081632653061,"velar","D58A_FO","KNOW",540.574233998246,15.1140816244659
"Young.hope",2.04081632653061,"velar","D58A_FO","KNOW",520.729869773258,20.5280055364558
"Old.hole",2.04081632653061,"velar","D58A_FO","KNOW",538.285580279384,20.9080757581235
"Young.hole",2.04081632653061,"velar","D58A_FO","KNOW",430.741980730764,55.540865217243
"Old.hope",4.08163265306122,"velar","D58A_FO","KNOW",542.021538260274,14.436873410542
"Young.hope",4.08163265306122,"velar","D58A_FO","KNOW",524.020151008701,19.7530967134914
"Old.hole",4.08163265306122,"velar","D58A_FO","KNOW",539.822592972645,20.0941064727779
"Young.hole",4.08163265306122,"velar","D58A_FO","KNOW",432.482751928819,53.7965336290732
"Old.hope",6.12244897959184,"velar","D58A_FO","KNOW",543.492010851835,13.792718960201
"Young.hope",6.12244897959184,"velar","D58A_FO","KNOW",527.333601306392,19.010633187191
"Old.hole",6.12244897959184,"velar","D58A_FO","KNOW",541.382775069581,19.3178076070401
"Young.hole",6.12244897959184,"velar","D58A_FO","KNOW",434.246690676254,52.119742579268
"Old.hope",8.16326530612245,"velar","D58A_FO","KNOW",544.9972359377,13.1746547082657
"Young.hope",8.16326530612245,"velar","D58A_FO","KNOW",530.681805197457,18.2960579713847
"Old.hole",8.16326530612245,"velar","D58A_FO","KNOW",542.977711272034,18.5755220160213
"Young.hole",8.16326530612245,"velar","D58A_FO","KNOW",436.04538074776,50.5141336901894
"Old.hope",10.2040816326531,"velar","D58A_FO","KNOW",546.548796815693,12.5728888185021
"Young.hope",10.2040816326531,"velar","D58A_FO","KNOW",534.076346346095,17.6030229853732
"Old.hole",10.2040816326531,"velar","D58A_FO","KNOW",544.61898541499,17.8618855201693
"Young.hole",10.2040816326531,"velar","D58A_FO","KNOW",437.890405051022,48.9832006778164
"Old.hope",12.2448979591837,"velar","D58A_FO","KNOW",548.157126355694,11.9808566639625
"Young.hope",12.2448979591837,"velar","D58A_FO","KNOW",537.527658008761,16.9277878767905
"Old.hole",12.2448979591837,"velar","D58A_FO","KNOW",546.317031023965,17.17417391834
"Young.hole",12.2448979591837,"velar","D58A_FO","KNOW",439.792195979811,47.5318814328762
"Old.hope",14.2857142857143,"velar","D58A_FO","KNOW",549.829239087398,11.4012351559708
"Young.hope",14.2857142857143,"velar","D58A_FO","KNOW",541.042755161768,16.2733811544164
"Old.hole",14.2857142857143,"velar","D58A_FO","KNOW",548.078863636334,16.5164261622432
"Young.hole",14.2857142857143,"velar","D58A_FO","KNOW",441.757767332291,46.1679692015971
"Old.hope",16.3265306122449,"velar","D58A_FO","KNOW",551.571517542029,10.8380522494444
"Young.hope",16.3265306122449,"velar","D58A_FO","KNOW",544.628020794055,15.6438273384029
"Old.hole",16.3265306122449,"velar","D58A_FO","KNOW",549.910866856088,15.8937506065247
"Young.hole",16.3265306122449,"velar","D58A_FO","KNOW",443.793500860925,44.8999194332628
"Old.hope",18.3673469387755,"velar","D58A_FO","KNOW",553.390362047848,10.2915879905968
"Young.hope",18.3673469387755,"velar","D58A_FO","KNOW",548.2898556916,15.0405916742009
