File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Post_Word Window	Vowels_per_Second	Comments	Warnings
001_MO_20180709	OW1	Internal	1		512.015	512.294	MOULD	511.924	512.424	M	511.924	512.015	L	512.294	512.384	sp 2.001	3.498		
001_MO_20180709	OW1	Internal	1		940.454	940.594	ROLLS	940.404	940.943	R	940.404	940.454	L	940.594	940.733	I 2.140	4.206		
001_MO_20180709	OW1	Internal	1		1930.218	1930.299	TOLD	1930.189	1930.458	T	1930.189	1930.218	L	1930.299	1930.419	TO 1.884	3.715		
001_MO_20180709	OW1	Internal	1		2638.601	2638.651	TOLD	2638.471	2638.78	T	2638.471	2638.601	L	2638.651	2638.721	US 1.039	5.775		
001_MO_20180709	OW1	Internal	1		2644.512	2644.601	TOLD	2644.441	2644.671	T	2644.441	2644.512	L	2644.601	2644.641	US 0.961	7.284		
001_MO_20180709	OW1	Start	1		2981.221	2981.322	OLD	2981.221	2981.391	IY	2981.161	2981.221	L	2981.322	2981.371	TESTAMENT 2.254	3.549		
001_MO_20180709	OW1	Start	1		3012.417	3012.517	OLD	3012.417	3012.587	IY	3012.327	3012.417	L	3012.517	3012.567	TESTAMENT 1.429	4.199		
001_MO_20180709	OW1	Start	1		3027.145	3027.204	OLD	3027.145	3027.255	IY	3027.084	3027.145	L	3027.204	3027.235	TESTAMENT 1.660	5.422		
001_MO_20180709	OW1	Start	1		3052.287	3052.357	OLD	3052.287	3052.447	IY	3052.197	3052.287	L	3052.357	3052.426	TESTAMENT 2.085	2.878		
001_MO_20180709	OW1	Start	1		3130.191	3130.222	OLD	3130.191	3130.441	sp	3130.042	3130.191	L	3130.222	3130.401	I 1.039	4.812		
001_MO_20180709	OW1	Internal	1		3150.358	3150.428	WHOLE	3150.317	3150.527	HH	3150.317	3150.358	L	3150.428	3150.527	PREGNANCY 1.500	6		
