File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Post_Word Window	Vowels_per_Second	Comments	Warnings
001_MO_20180709	OW1	Internal	2		30.549	30.610	COAT	30.429	30.690	K	30.429	30.549	T	30.610	30.690	HANGER 1.540	5.195		
001_MO_20180709	OW1	Internal	2		60.212	60.313	((BOTH))	60.163	60.412	B	60.163	60.212	TH	60.313	60.412	sp 1.336	2.994		
001_MO_20180709	OW1	Internal	2		139.590	139.750	HOME	139.490	140.141	HH	139.490	139.590	M	139.750	140.141	WAS 2.650	3.019		
001_MO_20180709	OW1	Internal	2		150.636	150.706	THOSE	150.607	150.856	DH	150.607	150.636	Z	150.706	150.856	DAYS 2.700	1.852		
001_MO_20180709	OW1	Start	2		236.614	236.644	ONLY	236.614	236.825	N	236.575	236.614	N	236.644	236.724	CHILD 1.669	3.595		
001_MO_20180709	OW1	Internal	2		240.878	240.999	GOING	240.818	241.219	G	240.818	240.878	IH	240.999	241.088	TO 2.351	3.828		
001_MO_20180709	OW1	Internal	2		327.633	327.753	ROAM	327.492	327.853	R	327.492	327.633	M	327.753	327.853	AROUND 1.500	4.667		
001_MO_20180709	OW1	Start	2		378.243	378.273	ONLY	378.243	378.413	N	378.183	378.243	N	378.273	378.323	sp 1.200	6.667		
001_MO_20180709	OW1	Internal	2		385.364	385.454	HOME	385.254	385.644	HH	385.254	385.364	M	385.454	385.644	BUT 1.361	4.409		
001_MO_20180709	OW1	Internal	2		404.374	404.583	SUPPOSE	404.004	404.823	P	404.233	404.374	Z	404.583	404.823	sp 2.084	1.440		
001_MO_20180709	OW1	Internal	2		453.140	453.249	SOCIALLY	452.960	453.739	S	452.960	453.140	SH	453.249	453.440	sp 3.114	1.285		
001_MO_20180709	OW1	Internal	2		460.530	460.560	SOCIAL	460.500	460.810	S	460.500	460.530	SH	460.560	460.640	sp 1.300	3.846		
001_MO_20180709	OW1	Start	2		462.299	462.370	ONLY	462.299	462.530	N	462.240	462.299	N	462.370	462.429	CHILD 1.928	3.631		
001_MO_20180709	OW1	Internal	2		495.996	496.076	SOCIAL	495.795	496.436	S	495.795	495.996	SH	496.076	496.276	sp 3.401	1.176		
001_MO_20180709	OW1	Internal	2		589.620	589.670	SOCIAL	589.510	589.861	S	589.510	589.620	SH	589.670	589.801	EVENTS 1.893	3.698		
001_MO_20180709	OW1	Internal	2		682.422	682.452	HOME	682.292	682.682	HH	682.292	682.422	M	682.452	682.682	UH 1.648	2.427		
001_MO_20180709	OW1	Start	2		691.098	691.218	OWN	691.098	691.428	S	691.009	691.098	N	691.218	691.428	sp 1.570	2.548		
001_MO_20180709	OW1	Internal	2		827.901	828.011	HOPELESS	827.871	828.332	HH	827.871	827.901	P	828.011	828.092	BUT 1.399	5.004		
001_MO_20180709	OW1	Internal	2		919.097	919.147	MOST	918.997	919.288	M	918.997	919.097	S	919.147	919.207	sp 1.520	2.632		
001_MO_20180709	OW1	Internal	2		919.487	919.558	MOST	919.447	919.667	M	919.447	919.487	S	919.558	919.617	KINDS 1.541	3.245		
001_MO_20180709	OW1	Internal	2		961.970	962.060	BONUS	961.940	962.309	B	961.940	961.970	N	962.060	962.150	POINTS 1.689	3.552		
001_MO_20180709	OW1	Internal	2		1093.803	1093.933	COPED	1093.703	1094.172	K	1093.703	1093.803	P	1093.933	1094.113	sp 3.087	2.268		
001_MO_20180709	OW1	Internal	2		1397.551	1397.690	BOTH	1397.500	1397.940	B	1397.500	1397.551	TH	1397.690	1397.940	sp 1.280	4.688		
